id,name,street,city,region,postal code,phone,email,website,zone,country
330,Home Leisure,795 N Main Street,Manahawkin,NJ,8050,609-597-6628,,http://www.homeleisure4u.com,USA,USA
334,Jerry's Sporting Goods,4031 Sports Street,Wichita Falls,TX,76308,940-696-0480,,http://www.jerrysscoreboard.com,USA,USA
336,Legend's Athletic,1032 Shady Oaks Drive,Denton,TX,76205,214-444-8679,,http://www.legendsathleticsupply.com,USA,USA
339,Lockdown Sports Gear,1348 N. Great Neck Road,Virginia Beach,VA,23454,757-481-0968,,,USA,USA
347,MVP Sports,72 North Main,Spanish Fork,UT,84660,801-798-3587,,,USA,USA
348,National Pro Fastpitch,3350 Hobson Pike,Hermitage,TN,37076,615-232-2900,,http://www.profastpitch.com,USA,USA
351,Omega Sports,130 S. Walnut,Greensboro,NC,27409,336-854-0797,,http://www.omegasports.net,USA,USA
354,Universal Athletic,"14131 N. Rio Vista Boulevard, Suite 1",Peoria,AZ,85381,888-322-2214,,http://www.universalathletic.com,USA,USA
355,Midway Sports,"7795 W. Flagler Street, Suite 8",Miami,FL,33144,305-264-0788,,http://www.midwaysports.com,USA,USA
356,Soccer Line,2876 Ringling Boulevard,Sarasota,FL,34237,941-365-6572,,http://www.soccerlineusa.com,USA,USA
285,Boomerang Sports and Fitness,1562 Marketplace Boulevard,Cumming,GA,30041,678-965-4420,,http://www.boomerangsportsandfitness.com,USA,USA
282,Black Rock Sports,10872 Isabelle Drive,New Haven,IN,46774,206-749-1870,,http://www.blackrocksportsinc.com,USA,USA
357,Soccer Locker Team Sports,8142 US 60,Ashland,KY,41102,606-928-4625,,http://www.soccerlockerteamsports.com,USA,USA
358,Universal Athletic,24 24th Street West,Billings,MT,59102,800-551-1832,,http://www.universalathletic.com,USA,USA
360,Universal Athletic,3544 Harrison Avenue,Butte,MT,59701,877-704-6277,,http://www.universalathletic.com,USA,USA
361,Universal Athletic,903 13th Avenue South,Great Falls,MT,59405,800-337-8701,,http://www.universalathletic.com,USA,USA
362,Universal Athletic,"1001 West Interstate Avenue, Suite 102",Bismark,ND,58503,888-858-0998,,http://www.universalathletic.com,USA,USA
364,Play It Again Sports,101 E. Alex Bell Road,Centerville,OH,45459,937-291-0031,,,USA,USA
366,Simpson Hardware,40 W. Wesmark Boulevard,Sumter,SC,29150,803-773-3397,,http://www.simpsonhardwareinc.com,USA,USA
367,T & T Sporting Goods,1207 Rosewood Drive,Columbia,SC,29201,803-799-8300,,,USA,USA
368,SportJunk.com,2023 S. Cooper Street,Arlington,TX,76010,817-303-6620,,http://www.baseballjunk.com,USA,USA
369,Academy Sports,1565 West Hill Field Road,Layton,UT,84041,801-544-0525,,http://www.academysportsutah.com,USA,USA
371,Universal Athletic,735 East Fort Union Boulevard,Midvale,UT,84047,800-333-3457,,http://www.universalathletic.com,USA,USA
372,Game On Sports Complex,117 Enterprise Drive,Madison Heights,VA,24572,434-238-2210,,,USA,USA
373,Home Run Junkie,"410 Light Foot Road, Suite C",Williamsburg,VA,23188,757-345-0330,,http://www.homerunjunkie.com,USA,USA
374,Play It Again Sports,250 Peppers Ferry Road #11542,Christiansburg,VA,24073,540-381-1261,,,USA,USA
397,Looper Sports Connection,7631 Horse Lake Road,Brooksville,FL,34601,352-796-7974,,,USA,USA
398,R & S Sports,3212 Gillionville Road,Albany,NY,31721,229-888-3755,,,USA,USA
399,R & S Sports,3122 N. Oak Street,Valdosta,GA,31602,229-253-9533,,,USA,USA
405,Taylors Bike Shop ,3269 West 5400 South,Taylorsville,UT,84118,801-969-4995,,HTTP://www.taylorsbikeshop.com,USA,USA
387,Ball & Chew Sports,717 Cattleman Road,Sarasota,FL,34232,941-371-7801,,http://www.extrainnings-sarasota.com,USA,USA
402,Sorrentino's Sports Center,2330 Sheridan Drive,Tonawanda,NY,14150,716-836-2715,,http://www.sorrsports.com,USA,USA
391,Grand Slam,3636 Virginia Beach Boulevard,Virginia Beach,VA,23452,757-431-0505,,http://www.grandslamvb.com,USA,USA
401,Smiths Sporting Goods,1435 Lindberg Drive,Slidell,LA,70458,985-646-2266,,http://www.smithssportinggoods.com,USA,USA
400,Red Stick Sports,5770 Essen Lane,Baton Rouge,LA,70809,225-769-6232,,http://www.redsticksports.com,USA,USA
394,Jamestown Cycle Shop,10 Harrison Street,Jamestown,NY,14701,716-664-4112,,http://www.jamestowncycleshop.com,USA,USA
393,Hock Sports,233 Race Track Road NW,Fort Walton Beach,FL,32547,850-243-9574,,http://www.hocksports.com,USA,USA
294,C-N-K Athletics,216 N. Court Street,Circleville,OH,43113,740-477-9828,,http://www.cnkathleticequipment.com,USA,USA
292,Cherokee Batting Range,711 Bascomb Commercial Parkway,Woodstock,GA,30189,770-591-4778,,http://www.cherokeebatting.com,USA,USA
291,Cheapbats.com,711 S. Beach Boulevard,Anaheim,CA,92804,800-589-4487,,http://www.cheapbats.com,USA,USA
289,Bullpen Sport,1096 N. Center Road,Burton,MI,48509,810-742-8820,,http://www.bullpensportsgear.com,USA,USA
287,Bownet,4690 Calle Quetzal,Camarillo,CA,93012,805-310-1650,,http://www.bownet.net,USA,USA
286,Boost Your Average,2326 Townsgate Road,Westlake Village,CA,91361,805-370-1025,,http://www.boostyouraverage.com,USA,USA
284,Bob's Sports Store,2145 S. Main Street,Waynesville,NC,28786,828-456-5843,,,USA,USA
281,Better Baseball,132 Carruth Drive,Marietta,GA,30060,800-997-4233,,http://www.betterbaseball.com,USA,USA
279,Baum's Sporting Goods,2845 E. Speedway Boulevard,Tucson,AZ,85716,520-881-1100,,http://www.baumssportinggoods.com,USA,USA
278,Baum's Sporting Goods,6460 N. Oracle Road,Tucson,AZ,85704,520-797-7779,,http://www.baumssportinggoods.com,USA,USA
277,Baum's Sporting Goods,937 E. Broadway,Tempe,AZ,85282,480-929-9600,,http://www.baumssportinggoods.com,USA,USA
274,Baseball Heaven,1111 E. Wackerly Street,Midland,MI,48642,989-205-0401,,http://www.baseballheavenmidland.com,USA,USA
273,Bartley's Sporting Goods,2555 Cleavland Ave,Fort Meyers,FL,33901,239-334-0441,,http://www.bartleysports.com,USA,USA
272,Barcelona Sporting Goods,9999 W. Sam Houston Parkway N.,Houston,TX,77064,713.464.8313,,http://www.barcelonasports.com,USA,USA
271,Barcelona Sporting Goods,10405 Katy Freeway Suite C,Houston,TX,77024,713-464-8313,,http://www.barcelonasports.com,USA,USA
268,All Star Baseball and Softball,135 Huddleston Road,Peachtree,GA,30269,770-631-3303,,http://www.virtualcages.com,USA,USA
385,AlaskaSoftball.com,3070 Brookview Street,Anchorage,AK,99504,907-227-4515,,http://www.alaskasoftball.com,USA,USA
390,Elite Sportscenter West,1800 Huey P. Long Ave,Gretna,LA,70053,504-263-1314,,http://www.eswbaseball.com,USA,USA
410,Athletic Barn,5412 Waxhaw Marvin Road,Waxhaw,NC,28173,704-999-1635,,,USA,USA
413,C&M Sporting Goods,158 Westgate Pkway,Dothan,AL,36303,334-793-7415,,,USA,USA
414,Dans Sports,12108 N Nebraska Ave,Tampa,FL,33612,813-971-5512,,,USA,USA
416,Elmwood Sports Center,1553 Elmwood,Cranston,RI,2910,401-781-9113,,,USA,USA
417,Franks Sports Shop,430 E Tremont Ave,Bronx,NY,10457,877-223-1438,,,USA,USA
418,Frozen Ropes - Katy,20000 Park Row,Katy,TX,77449,281-578-9790,,http://www.frozenropes.com,USA,USA
420,Monkey Sports - CA,1962 Barranca Parkway,Irvine,CA,92606,949-337-4980,,http://www.monkeysports.com,USA,USA
421,Monkey Sports - MA,949 Providence Highway (Route 1),Norwood,MA,2062,781-769-1754,,http://www.monkeysports.com,USA,USA
422,Monkey Sports - NJ,1500 Route 9 North,Woodbridge,NJ,7095,732-634-1446,,http://www.monkeysports.com,USA,USA
423,Paul's Cycling & Fitness,2405 Buchanan Street,Winston Salem,NC,27127,336-399-3824,,,USA,USA
424,Philbricks,161 Portland Ave,Dover,NH,3820,603-742-9333,,,USA,USA
425,Plaza Sports,89 Route 25A,Rocky Point,NY,11778,631-744-5555,,,USA,USA
431,Second Hand Sports,1016 West Broadway,Ardmore,OK,73401,580-226-5668,,,USA,USA
433,Sports World,535 W Baddour Parkway,Lebanon,TN,37087,615-444-6554,,,USA,USA
434,Tradewins Sports,79 S. Lake St.,Forest Lake,MN,55025,651-464-2994,,,USA,USA
432,Sport N Center,205 S Range Ave,Denham Springs,LA,70726,225-664-7386,,http://www.sportncenter.net,USA,USA
437,2nd Time Sports,2625 Valley Ave,Winchester,VA,22601,,,,USA,USA
438,7th Inning Sports,19862 Virgil H Goode Highway,Rocky Mount,VA,24151,540-482-0062,,,USA,USA
439,Arizona East Valley Sports INC,6306 East Main Street,Mesa,AZ,85205,480-832-8172,,,USA,USA
440,Athletes Corner-LA,1737 West Sale Road,Lake Charles,LA,70605,337-479-1920,,,USA,USA
442,Bats Unlimited,2852 Walnut Unit A,Tustin,CA,92780,714-617-7810,batsales@sbcglobal.net,,USA,USA
443,Big  D Sports,17175 Beacon St,Poncha Toula,LA,70454,601-569-1868,bigdsportsinfo@gmail.com,,USA,USA
444,C&M Sporting Goods- PA,1305 West Chester Pike STE.30,Havertown,PA,19083,610-449-5880,,,USA,USA
445,Chappell and Sons,605 W. Fortification St,Jackson,MS,39203,601-291-4648,,,USA,USA
446,Dassel Entertainment,640 Parker Ave. W.,Dassel,MN,55325,320-275-2916,,,USA,USA
447,D-Bat Academy - Dallas,15605 Wright Brothers Dr,Addison,TX,75001,972-387-3228,,,USA,USA
448,DePhillips Sports,33-03A Francis Lewis Blvd,Flushing,NY,11358,718-445-5420,,,USA,USA
450,Direct Sports,1720 Curve Road,Pearisburg,VA,24134,540-921-1243,,http://www.directsports.com,USA,USA
451,Dominic's Sports,204 Arch St,Greensburg,PA,15601,724-836-5999,,,USA,USA
452,East Central Sports Center,21231 Mississippi 613,Moss Point,MS,39562,228-588-2600,,,USA,USA
453,East Valley Sports,6306 East Main Street,Mesa,AZ,85205,480-832-8172,,,USA,USA
454,Elite Sporting Goods-GA,658 Grayson Highway,Lawrenceville,GA,30045,770-309-7972,elitesportinggoods@yahoo.com,,USA,USA
455,FKA Worlwide Sports,11103 Queens Wood Ter,Bowie,MD,20721,706-691-9483,,,USA,USA
456,Gorfam Athletics,8922 S Memorial Dr,Tulsa,OK,74133,918-806-2600,ruspo2@aol.com,http://www.portsoutdoors.com,USA,USA
458,Holovak & Coughlin Sporting Goods 613,14 Mill St,Arlington,MA,2476,781-648-7000,,,USA,USA
459,Inside The Park Sporting Goods,2353 South Azusa Ave,West Covina,CA,91792,626-964-1800,bobbyleecao@gmail.com,,USA,USA
462,Legends Sporting Goods,8224 5Th Ave,Brooklyn,NY,11209,718-680-8957,,,USA,USA
463,Maurer's Southland Sports,208 East North Ave#B,Brlton,MO,64012,816-331-9665,,,USA,USA
464,Monster Batting Cages,320 W Main St,Clayton,NC,27520,919-585-4990,,,USA,USA
465,Perfect Game USA,1203 Rockford Road S.W.,Cedar Rapids,IA,52404,319-298-2923,,,USA,USA
466,Play It Again Sport-Lynchburg,1033 Woodberry Square Place,Lynchburg,VA,24503,434-385-5811,piasforest@gmail.com,,USA,USA
467,Play It Again Sports - Ridgeland,900 E County Line RD Suite 140,Ridgeland,MS,39157,601-956-5500,,,USA,USA
468,Play It Again Sports-Decatur,3004 A N Water,Decatur,IL,62526,217-872-2434,piasdecil@sbcglobal.net,,USA,USA
469,Play The Game,8051 S Willow ST,Manchester,NH,3103,603-232-6220,,,USA,USA
471,Southside Sports,177 Kernstown Commons Blvd,Winchester,VA,22602,540-868-8520,southsidesports@live.com,,USA,USA
472,Sports Exchange,2461 US Hghway 9 North,Howell,NJ,7731,732-308-9225,,,USA,USA
473,T & B Sports,1345 Fourth St,San Rafael,CA,94901,415-453-2433,,,USA,USA
476,The ClubHouse,2215 Black Rock Turnpike,Fairfield,CT,6825,203-292-8700,,,USA,USA
477,The Sports Basement,1590 Bryant Street,San Francisco,CA,94103,415-573-3000,,,USA,USA
479,The Sports Basement,1177 Kern Ave,Sunnyvale,CA,94085,408-732-0300,,,USA,USA
480,The Sports Basement,1875 South Bascom Ave Ste#240,Campbell,CA,95008,408-899-5783,,,USA,USA
481,The Sports Basement,610 Old Mason Street,San Francisco,CA,94129,415-437-0100,,,USA,USA
482,The Sports Haus,19505 7th AVE. NE Ste 107,Poulsbo,WA,98370,360-697-2311,sporthaus@yahoo.com,,USA,USA
483,"Todd & Moore, INC",620 Huger Street,Columbia,SC,29201,803-765-0150,,,USA,USA
484,Tri County Sports,619 Point Township Line Road,Northumberland,PA,17857,570-473-3241,,,USA,USA
486,Vivroux Sporting Goods,6446 N New Braunfels Ave,San Antonio,TX,78209,210-829-4197,savonsports@gmail.com,,USA,USA
487,Williams Sporting Goods,26 North Plaza,Paris,TX,75460,800-218-3334,wsg.jimdavis@sbcglobal.net,,USA,USA
500,Freddie Battaglia’s,501 Wyoming Ave,Scranton,PA,18509,570-344-3112,,,USA,USA
502,All American Sports Shoppe,20120 Saticoy Street,Winnetka,CA,91306,818-998-4253,,http://www.allamericanbaseballshop.com,USA,USA
503,Allen Sports Ctr.,6585 Seminole Blvd.,Seminole,FL,33772,727-397-0421,,http://www.allen-sports.com,USA,USA
510,Centerfield Baseball & Softball Academy,1861 W. Grant Road Suite 107,Tucson,AZ,85745,520-440-4487,,http://www.centerfieldhits.com,USA,USA
513,First Team Sports,2520 Wade Hampton BLVD,Greenville,SC,29615,864-268-6227,,http://www.firstteamsportsgreenvillesc.com,USA,USA
514,Free Agent Sports,595 Deer Run W.,Palm Harbor,FL,34684,727-793-4737,,,USA,USA
516,Graves Performance Sports,3907 Central Ave Suite H,Hot Springs,AR,71913,501-226-9700,,http://www.gravesperformancesports.com,USA,USA
518,Harder Sporting Goods,2098 Lycoming Creek Road,Williamsport,PA,17701,570-326-1591,,http://www.hardersportinggoods.com,USA,USA
520,JP Longball,5232 Riley Street,San Diego,CA,92110,619-299-4487,,http://www.jplongball.com,USA,USA
521,Leway Enterprises,4854 Streets Run Road,Pittsburgh,PA,15236,412-942-0740,,http://www.leway.com,USA,USA
523,Play I Again Sports-Columbus,6011 East Main Street,Columbus,OH,43213,614-868-0018,,http://www.playitagainsports.com,USA,USA
525,Play It Again Sports-Studio City,12038 Ventura Blvd,Studio City,CA,91604,818-752-9123,,http://www.playitagainsports.com,USA,USA
526,Reads Sporting Goods,812 IAA Dr.,Blommington,IL,61701,309-663-0355,,,USA,USA
529,Sports Specialties,613 Station Ave,Haddon Heights,NJ,8035,856-547-3252,,http://www.heightssports.com,USA,USA
530,Sports World-Shreveport,8809 Jewella Ave,Shreveport,LA,71108,318-686-1880,,http://www.sportsworlduniforms.com,USA,USA
532,The Locker Room,514 N Bluff Street,St George,UT,84770,435-628-4221,,http://www.lockerroomsports.com,USA,USA
109,Olympia Team Sports,4367 Atlanta Highway,Montgomery,AL,36109,334-277-2622,olympiaspt@networktel.net,http://www.olympiaspt.com,USA,USA
412,Diamond Pro Sports,1407 Chesapeake Ave,Baltimore,MD,21220,443-690-8481,,,USA,USA
594,All Star Batting Cages,1127 Berryville Ave,Winchester,VA,22601,540-722-4724,,,USA,USA
596,Bagger Sports,23460 Cinema Drive Suite F,Valencia,CA,91355,661-260-2502,,,USA,USA
598,Blue Heron Sports,5115 St. Route 405,Milton,PA,17847,570-742-3228,,,USA,USA
599,Closeout Bats.com,140 Woodland Ave,Westwood,NJ,7675,866-999-6886,,http://www.closeoutbats.com,USA,USA
600,East Texas Sports Center,310 North Washington Ave,Marshalltown,TX,75670,903-935-1912,,,USA,USA
601,Dick's Sporting Goods,345 Court St,Coraopolis,PA,15108,877-846-9997,,http://www.dickssportingoods.com,USA,USA
602,Eich's Sports,24316 W 143rd Street,Plainfield,IL,60544,815-436-3771,,,USA,USA
603,Fremont Batting Range,1405 E State St,Fremont,OH,43420,419-334-9455,,,USA,USA
604,GoldStocks Sporting Goods,98 Freemans Bridge Road,Scotia,NY,12302,518-382-2037,,,USA,USA
605,Got'em Sports,3400 Aviation Blvd,Vero Beach,FL,32960,772-562-4333,,,USA,USA
606,Hibbett Sports,2700 Milan Court,Birmingham,AL,35211,205-942-4292,,http://www.hibbett.com/,USA,USA
607,Johnny Mac's Sporting Goods,10100 Watson Road,St. Louis,MO,63127,314-966-5444,,,USA,USA
608,Kimmel Athletic Supply,15326 NE 96th Place #A-10,Redmond,WA,98052,509-326-7710,,,USA,USA
609,Kimmel Athletic Supply,202 E Mission Ave,Spokane,WA,99202,509-326-7710,,,USA,USA
610,Kratz Sporting Goods,335 Beckett Street,Clarksville,IN,47129,812-282-5400,,,USA,USA
611,New Bern Sporting Goods,3721 Trent Road,New Bern,NC,28562,252-638-1136,,,USA,USA
612,Olympia Sports,5 Bradley Drive,Westbrook,ME,4092,207-854-2794,,http://www.olympiasports.net/,USA,USA
614,Play It Again Sport - Iowa,1705 First Ave,Iowa City,IA,52240,319-354-4777,,,USA,USA
615,Play It Again Sports - Baltimore,7968 Belaire Rd,Baltimore,MD,21236,410-882-1810,,,USA,USA
616,Play It Again Sports - Greensburg,6041 State Rt. 30 Suite 65,Greensburg,PA,15601,724-834-1121,,,USA,USA
617,Play It Again Sports - Lubbock,4815 50th Street,Lubbock,TX,79414,806-788-0144,,,USA,USA
618,Rayburn Sporting Goods,16 A Ryeland Drive,Cabot,AR,72023,501-605-1618,,,USA,USA
620,Rev Graphics,8103 E US 36,Avon,IN,46123,317-902-8243,,,USA,USA
621,Schuylkill Valley Sports,118 Industrial Drive,Pottstown,PA,19464,610-495-8813,,,USA,USA
623,Sports Shack,101 Deer Park Ave,Babylon Village,NY,11702,631-669-9836,,,USA,USA
624,Sports Shop Of Benton,1212 Military Road Suite A,Benton,AR,72015,501-315-1212,,,USA,USA
625,Strike Zone ,2900 S 110th St,Omaha,NE,68144,402-398-1238,,,USA,USA
626,Swing Kingz,301 Lightfoot Rd,Williamsburg,VA,23188,757-645-4481,,,USA,USA
628,The Batterz Box,1336 S Milwaukee Ave,Libertyville,IL,60048,847-886-0160,,,USA,USA
632,Websters Sporting Goods,5060 E 62nd Street,Indianapolis,IN,46220,317-255-4855,,,USA,USA
633,Worsham Athletics,720 Spartansburg Highway,Hendersonville,NC,28792,828-692-1595,,,USA,USA
637,Baseball 365,9872 Lyndale AVE S,Bloomington,MN,55420,952-881-2255,,,USA,USA
639,Big League Dugout 1,9180 E Indian Bend Road #F-10,Scottsdale,AZ,85250,480-270-6817,,,USA,USA
640,CR Sports/Cowing-Robards,512 Broadway Street,Alexandria,MN,56308,320-763-4333,,,USA,USA
641,DAQ Bats,6147 Tompkins Drive,Mclean,VA,22101,202-365-3246,,,USA,USA
645,Hanson Athletics,170 Canal Place,Philadelphia,MS,39350,601-416-3896,,,USA,USA
646,Lefty's Sports Academy,840 Bloomfield Ave,Clifton,NJ,7012,973-777-2287,,,USA,USA
647,North Texas Baseball,1219 San Marcos Dr,Arlington,TX,76012,817-966-8250,,,USA,USA
652,Play It Again Sports - Evansville,5626 E Virginia Street,Evansville,IN,47715,812-479-3289,,,USA,USA
653,Play It Again Sports - Kissimmee,2900 W. Vine St,Kissimmee,FL,34741,407-944-4005,,,USA,USA
655,Play It Again Sports - Orlando,7621 W. colonial Dr,Orlando,FL,32818,407-445-6633,,,USA,USA
656,Play It Again Sports - Palm Harbor,35181 US Hwy 19 N,Palm Harbor,FL,34684,727-781-7700,,,USA,USA
657,Play It Again Sports - Port St Lucie,"10137 S, Federal Hwy",Port St. Lucie,FL,34952,772-380-9280,,,USA,USA
