wp_ID,wp_post_date,wp_post_modified,wp_post_status,wp_post_title,wp_post_content,wp_post_excerpt,wp_post_parent,wp_post_name,wp_post_type,wp_post_mime_type,wp_ping_status,wp_comment_status,wp_menu_order,wp_post_author,tx_category,tx_post_tag,tx_post_format,fi_thumbnail,cf__wp_page_template,cf__edit_last,cf__edit_lock,cf__soliloquy_settings,cf_wpcf-street-address,cf_wpcf-city,cf_wpcf-state,cf_wpcf-zipcode,cf_wpcf-phone-number,cf__menu_item_menu_item_parent,cf__menu_item_type,cf__menu_item_object,cf__menu_item_object_id,cf__menu_item_target,cf__menu_item_classes,cf__menu_item_xfn,cf__menu_item_url,cf__thumbnail_id,cf__wp_attachment_metadata,cf__wp_attached_file,cf__form,cf__mail,cf__mail_2,cf__messages,cf__additional_settings,cf__wp_types_group_filters_association,cf__wp_types_group_fields,cf__wp_types_group_post_types,cf__wp_types_group_terms,cf__wp_types_group_templates,cf__wpcf_conditional_display,cf_wpcf-contact-email,cf_wpcf-website,cf__wp_old_slug,cf__soliloquy_image_link,cf__soliloquy_image_link_title,cf__soliloquy_image_link_tab,cf_wpcf-country,cf_wpcf-region,cf__wp_attachment_image_alt,cf_wpcf-post-link-url,cf__wp_types_group_admin_styles,cf__sol_slider_data,cf__sol_in_slider,cf__sol_has_slider,cf_wpcf-hide-title-overlay,cf_link,cf__menu_item_orphaned
105,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Mordecai Sporting Goods",,,0,mordecai-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"809 Main Street Suite 101",Gardendale,AL,35071,205-631-4172,,,,,,,,,,,,,,,,,,,,,,,mspts@aol.com,,,,,,,,,,,,,,,,
101,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"MAC Sporting Goods",,,0,mac-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"400 N. Eastern Boulevard",Montgomery,AL,36117,334-277-4963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Luv-2-Par Sporting Goods",,,0,luv-2-par-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"649 Corporate Drive Suite C",Houma,LA,70360,985-262-4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Line Drive Indoor Baseball",,,0,line-drive-indoor-baseball,dealer,,open,open,0,admin,,,,,,,,,"3125 Jupiter Park Circle Suite 1",Jupiter,FL,33458,561-283-6614,,,,,,,,,,,,,,,,,,,,,,,linedrivebt@yahoo.com,www.linedriveindoorbaseball.com,,,,,,,,,,,,,,,
93,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Just Softball",,,0,just-softball,dealer,,open,open,0,admin,,,,,,,,,"925 Eucalyptus Drive","El Segundo",CA,90245,310-466-0324,,,,,,,,,,,,,,,,,,,,,,,deb@just-softball.com,www.just-softball.com,,,,,,,,,,,,,,,
91,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"JC Sports",,,0,jc-sports,dealer,,open,open,0,admin,,,,,,,,,"1134 Cotton Gin Drive",Woodstock,GA,30188,,,,,,,,,,,,,,,,,,,,,,,,coachcrane@hotmail.com,,,,,,,,,,,,,,,,
90,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Home Run Park",,,0,home-run-park,dealer,,open,open,0,admin,,,,,,,,,"711 S. Beach Boulevard",Anaheim,CA,92804,714-229-8850,,,,,,,,,,,,,,,,,,,,,,,mikehrp@gmail.com,www.homerunpark.com,,,,,,,,,,,,,,,
88,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Hibbett Sporting Goods",,,0,hibbett-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.hibbett.com,,,,,,,,,,,,,,,
86,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Good Sports",,,0,good-sports,dealer,,open,open,0,admin,,,,,,,,,"124 Robin Road #1500","Altamonte Springs",FL,32701,407-260-1609,,,,,,,,,,,,,,,,,,,,,,,dale@goodsports.biz,www.goodsports.biz,,,,,,,,,,,,,,,
85,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Golf Plus",,,0,golf-plus,dealer,,open,open,0,admin,,,,,,,,,"5601 E. Virginia",Evansville,IN,47715,812-477-7529,,,,,,,,,,,,,,,,,,,,,,,golfplusevv@aol.com,www.golfplusstores.com,,,,,,,,,,,,,,,
82,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Family Baseball",,,0,family-baseball,dealer,,open,open,0,admin,,,,,,,,,"514 10th Street",Henderson,KY,42420,270-826-4300,,,,,,,,,,,,,,,,,,,,,,,lwisls@msn.com,,,,,,,,,,,,,,,,
81,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Elite Sporting Goods",,,0,elite-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"1854 Thomasville Road","Tallahassee ",FL,32303,850-385-2255,,,,,,,,,,,,,,,,,,,,,,,kipwest@yahoo.com,,,,,,,,,,,,,,,,
79,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"East Gadsen Sporting Goods",,,0,east-gadsen-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"110 College Plaza",Gadsen,AL,35403,256-546-0043,,,,,,,,,,,,,,,,,,,,,,,egadsensporting@comcast.net,,,,,,,,,,,,,,,,
77,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Dream Bat Company",,,0,dream-bat-company,dealer,,open,open,0,admin,,,,,,,,,"64 Field Road Unit 4F",Somers,CT,6071,860-335-7196,,,,,,,,,,,,,,,,,,,,,,,kevin_mayo@dreambats.com,www.dreambats.com,,,,,,,,,,,,,,,
76,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Double Diamond Sports",,,0,double-diamond-sports,dealer,,open,open,0,admin,,,,,,,,,"602 Sloop Street",Kannapolis,NC,28083,704-933-4111,,,,,,,,,,,,,,,,,,,,,,,doublediamond@carolinarr.com,www.doublediamontsports.com,,,,,,,,,,,,,,,
73,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Dalton Sports",,,0,dalton-sports,dealer,,open,open,0,admin,,,,,,,,,"3106 E Walnut Avenue",Dalton,GA,30721,706-226-1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Coaches Corner Sporting Goods",,,0,coaches-corner-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"750 Oak Street","Terre Haute",IN,47807,812-232-2290,,,,,,,,,,,,,,,,,,,,,,,coachescornersq@gmail.com,www.coachescornersportinggoods.com,,,,,,,,,,,,,,,
64,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Cherokee Batting Range",,,0,cherokee-batting-range,dealer,,open,open,0,admin,,,,,,,,,"711 Bascomb Commercial Parkway",Woodstock,GA,30189,770-591-4778,,,,,,,,,,,,,,,,,,,,,,,,www.cherokeebatting.com,,,,,,,,,,,,,,,
63,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,Cheapbats.com,,,0,cheapbats-com,dealer,,open,open,0,admin,,,,,,,,,"711 S. Beach Boulevard",Anaheim,CA,92804,800-589-4487,,,,,,,,,,,,,,,,,,,,,,,mike@cheapbats.com,www.cheapbats.com,,,,,,,,,,,,,,,
61,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Bullpen Sports",,,0,bullpen-sports,dealer,,open,open,0,admin,,,,,,,,,"1096 N. Center Road",Burton,MI,48509,810-742-8820,,,,,,,,,,,,,,,,,,,,,,,bullpensportsgear@yahoo.com,www.bullpensportsgear.com,,,,,,,,,,,,,,,
59,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,Bownet,,,0,bownet,dealer,,open,open,0,admin,,,,,,,,,"4690 Calle Quetzal",Camarillo,CA,93012,805-310-1650,,,,,,,,,,,,,,,,,,,,,,,creamerfmly@aol.com,www.bownet.net,,,,,,,,,,,,,,,
58,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Bob's Sports Store",,,0,bobs-sports-store,dealer,,open,open,0,admin,,,,,,,,,"2145 S. Main Street",Waynesville,NC,28786,828-456-5843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Better Baseball",,,0,better-baseball,dealer,,open,open,0,admin,,,,,,,,,"132 Carruth Drive",Marietta,GA,30060,800-997-4233,,,,,,,,,,,,,,,,,,,,,,,aga@betterbaseball.com,www.betterbaseball.com,,,,,,,,,,,,,,,
55,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Beast Mode Academy",,,0,beast-mode-academy,dealer,,open,open,0,admin,,,,,,,,,,Houston,TX,,713-305-1387,,,,,,,,,,,,,,,,,,,,,,,mxsoliz@aol.com,,,,,,,,,,,,,,,,
54,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Baum's Sporting Goods",,,0,baums-sporting-goods-3,dealer,,open,open,0,admin,,,,,,,,,"937 E. Broadway",Tempe,AZ,85282,480-929-9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Baum's Sporting Goods",,,0,baums-sporting-goods-2,dealer,,open,open,0,admin,,,,,,,,,"6460 N. Oracle Road",Tucson,AZ,85704,520-797-7779,,,,,,,,,,,,,,,,,,,,,,,info@baumssportinggoods.com,,,,,,,,,,,,,,,,
52,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Baum's Sporting Goods",,,0,baums-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"2845 E. Speedway Boulevard",Tucson,AZ,85716,520-881-1100,,,,,,,,,,,,,,,,,,,,,,,anthony@baumssportinggoods.com,www.baumssportinggoods.com,,,,,,,,,,,,,,,
50,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Bartley's Sporting Goods",,,0,bartleys-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"2555 Cleavland Ave","Fort Meyers",FL,33901,239-334-0441,,,,,,,,,,,,,,,,,,,,,,,info@bartleysports.com,www.bartleysports.com,,,,,,,,,,,,,,,
49,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Barcelona Sporting Goods",,,0,barcelona-sporting-goods-2,dealer,,open,open,0,admin,,,,,,,,,"10405 Katy Freeway Suite C",Houston,TX,77024,713-464-8313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Barcelona Sporting Goods",,,0,barcelona-sporting-goods,dealer,,open,open,0,admin,,,,,,,,,"9999 W. Sam Houston Parkway N.",Houston,TX,77064,713.464.8313,,,,,,,,,,,,,,,,,,,,,,,diana@barcelonasports.com,www.barcelonasports.com,,,,,,,,,,,,,,,
47,"2013-04-22 15:57:58","2013-04-22 15:57:58",publish,"Athletic Center",,,0,athletic-center,dealer,,open,open,0,admin,,,,,,,,,"801 Linton Way",Princeton,KY,42445,270-365-2500,,,,,,,,,,,,,,,,,,,,,,,lwisls@msn.com,,,,,,,,,,,,,,,,
144,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Varsity Sports",,,0,varsity-sports,dealer,,open,open,0,admin,,,,,,,,,"134 N. Broad Street",Griffith,IN,46319,219-924-5110,,,,,,,,,,,,,,,,,,,,,,,lwisls@msn.com,,,,,,,,,,,,,,,,
143,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Trophy Sports Center",,,0,trophy-sports-center,dealer,,open,open,0,admin,,,,,,,,,"26 Kinsey Road",Xenia,OH,45385,937-376-2311,,,,,,,,,,,,,,,,,,,,,,,trophysports@aol.com,www.trophysportscenter.com,,,,,,,,,,,,,,,
138,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"SWAT Nation Softball Academy",,,0,swat-nation-softball-academy,dealer,,open,open,0,admin,,,,,,,,,,,,,856-981-3153,,,,,,,,,,,,,,,,,,,,,,,ken.esser@verizon.net,,,,,,,,,,,,,,,,
137,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Superstar Team Sports",,,0,superstar-team-sports,dealer,,open,open,0,admin,,,,,,,,,"3169 Forest Hill Boulevard","West Palm Beach ",FL,33406,561-969-7400,,,,,,,,,,,,,,,,,,,,,,,superstarsportswpb@bellsouth.net,www.superstarteamsports.com,,,,,,,,,,,,,,,
136,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Super Sports",,,0,super-sports,dealer,,open,open,0,admin,,,,,,,,,"5310 Old Montgomery Highway",Tuscaloosa,AL,35405,205-758-9555,,,,,,,,,,,,,,,,,,,,,,,supersportsinc@aol.com,,,,,,,,,,,,,,,,
132,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Sports Cellar",,,0,sports-cellar,dealer,,open,open,0,admin,,,,,,,,,"1018 Asheville Highway",Hendersonville,NC,28791,828-693-3211,,,,,,,,,,,,,,,,,,,,,,,sportscellar@bellsouth.net,,,,,,,,,,,,,,,,
130,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"SPC Sports Inc.",,,0,spc-sports-inc,dealer,,open,open,0,admin,,,,,,,1371593733:2,,"9431 Mentor Avenue",Mentor,OH,44060,440-625-1266,,,,,,,,,,,,,,,,,,,,,,,jesse@spcsports.com,www.spcsports.com,,,,,,,,,,,,,,,
129,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"SP Hitting Zone",,,0,sp-hitting-zone,dealer,,open,open,0,admin,,,,,,,,,"33925 Johnson Drive","Sioux City",IA,51108,712-899-0472,,,,,,,,,,,,,,,,,,,,,,,sphittingzone@yahoo.com,,,,,,,,,,,,,,,,
128,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Softball Our Game",,,0,softball-our-game,dealer,,open,open,0,admin,,,,,,,1371593553:2,,"3519 Wedgewood Lane","The Villages",FL,32162,352-751-4007,,,,,,,,,,,,,,,,,,,,,,,,www.softballrgame.com,,,,,,,,,,,,,,,
127,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Roy Kuhl Sports",,,0,roy-kuhl-sports,dealer,,open,open,0,admin,,,,,,,,,"3436 Winfield Road",Winfield,WV,25213,304-586-4778,,,,,,,,,,,,,,,,,,,,,,,roykuhlsports@gmail.com,www.roykuhlsports.com,,,,,,,,,,,,,,,
126,"2013-04-22 15:57:59","2013-04-22 15:57:59",publish,"Romeo's Sporting Goods",,,0,romeos-sporting-goods,dealer,,open,open,0,admin,,,,,,,1366673433:1,,"5520 Crestwood Boulevard",Birmingham,AL,35212,205-591-7145,,,,,,,,,,,,,,,,,,,,,,,romeosports@aol.com,www.romeossportinggoods.com,,,,,,,,,,,,,,,
131,"2013-04-22 15:57:59","2013-04-22 16:34:36",publish,BaseballJunk.com,,,0,baseballjunk-com,dealer,,closed,closed,0,admin,,,,,,1,1366673566:1,,"2023 S. Cooper Street",Arlington,TX,76010,817-303-6620,,,,,,,,,,,,,,,,,,,,,,,sportjunk@gmail.com,,,,,,,,,,,,,,,,
256,"2013-05-21 13:12:40","2013-05-21 13:12:40",publish,"D-BAT San Antonio North",,,0,d-bat-san-antonio-north,dealer,,closed,closed,0,chris,,,,,,2,1371593545:2,,"2250 Chipley Circle","San Antonio",TX,78217,"(210) 826-3228 (DBAT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"2013-06-18 15:15:11","2013-06-18 15:21:06",publish,"Academy Sports",,,0,academy-sports,dealer,,closed,closed,0,chris,,,,,,2,1371594067:2,,"5370 South Riley Lane",Murray,UT,84107,801-713-0581,,,,,,,,,,,,,,,,,,,,,,,,http://www.academysportsutah.com/,,,,,,,,,,,,,,,
295,"2013-06-18 15:48:29","2013-06-18 15:48:29",publish,"Coaches Corner Sporting Goods",,,0,coaches-corner-sporting-goods-2,dealer,,closed,closed,0,chris,,,,,,1,1371597154:1,,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,"2013-06-26 17:42:07","2013-06-26 17:42:07",publish,"Denton Athletics",,,0,denton-athletics-2,dealer,,closed,closed,0,chris,,,,,,2,1372293615:2,,"908 W. University Drive",Denton,TX,76201,940-320-5500,,,,,,,,,,,,,,,,,,,,,,,,http://www.dentonathletics.net,,,,,,,,,,,,,,,
313,"2013-06-26 17:42:49","2013-06-26 17:42:49",publish,"Diamond Sports",,,0,diamond-sports-2,dealer,,closed,closed,0,chris,,,,,,2,1372293659:2,,"13712 24th Street E",Sumner,WA,98390,253-987-5082,,,,,,,,,,,,,,,,,,,,,,,,http://www.diamondsportstrainingcenter.com,,,,,,,,,,,,,,,
314,"2013-06-26 17:43:16","2013-06-26 17:43:16",publish,"Dick's Sporting Goods",,,0,dicks-sporting-goods,dealer,,closed,closed,0,chris,,,,,,2,1372293743:2,,,,AL,,877-846-9997,,,,,,,,,,,,,,,,,,,,,,,,http://www.dickssportingoods.com,,,,,,,,,,,,,,,
317,"2013-06-26 17:46:04","2013-06-26 17:46:04",publish,"Dugout Sports",,,0,dugout-sports-2,dealer,,closed,closed,0,chris,,,,,,2,1372293853:2,,"26302 I-45 North",Spring,TX,77386,281-367-4076,,,,,,,,,,,,,,,,,,,,,,,,http://www.dugoutsports.com,,,,,,,,,,,,,,,
318,"2013-06-26 17:46:35","2013-06-26 17:46:35",publish,"Dumont Sporting Goods",,,0,dumont-sporting-goods,dealer,,closed,closed,0,chris,,,,,,2,1372293884:2,,"1003 McKinley Avenue",Canton,OH,44713,330-455-5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,"2013-06-26 17:49:52","2013-06-26 17:49:52",publish,"Family Sports",,,0,family-sports,dealer,,closed,closed,0,chris,,,,,,2,1372294081:2,,"514 10th Street",Henderson,KY,42420,270-826-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,"2013-06-26 17:50:31","2013-06-26 17:50:31",publish,"Frozen Ropes",,,0,frozen-ropes-2,dealer,,closed,closed,0,chris,,,,,,2,1372294122:2,,"55 Bay Hill Road",Lakewood,NJ,08701,973-202-3931,,,,,,,,,,,,,,,,,,,,,,,,http://www.frozenropes.com,,,,,,,,,,,,,,,
324,"2013-06-26 17:51:12","2013-06-26 17:51:12",publish,"Gable Sporting Goods",,,0,gable-sporting-goods-2,dealer,,closed,closed,0,chris,,,,,,2,1372294163:2,,"6250 Fairburn Road",Douglasville,GA,30134,770-942-5397,,,,,,,,,,,,,,,,,,,,,,,,http://www.gablesportsga.com,,,,,,,,,,,,,,,
327,"2013-06-26 17:53:56","2013-06-26 17:53:56",publish,"Grin and Wear It",,,0,grin-and-wear-it,dealer,,closed,closed,0,chris,,,,,,2,1372294362:2,,"108 N. Keswick Avenue",Glenside,PA,19038,215-292-2495,,,,,,,,,,,,,,,,,,,,,,,,http://www.grinandwearit.net,,,,,,,,,,,,,,,
328,"2013-06-26 17:56:23","2013-06-26 17:56:23",publish,"Hibbett Sporting Goods",,,0,hibbett-sporting-goods-2,dealer,,closed,closed,0,chris,,,,,,2,1372294472:2,,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hibbett.com,,,,,,,,,,,,,,,
330,"2013-06-26 17:58:37","2013-06-26 17:58:37",publish,"Home Leisure",,,0,home-leisure,dealer,,closed,closed,0,chris,,,,,,2,1372294612:2,,"795 N Main Street",Manahawkin,NJ,08050,609-597-6628,,,,,,,,,,,,,,,,,,,,,,,,http://www.homeleisure4u.com,,,,,,,,,,,,,,,
334,"2013-06-26 18:01:35","2013-06-26 18:01:35",publish,"Jerry's Sporting Goods",,,0,jerrys-sporting-goods-2,dealer,,closed,closed,0,chris,,,,,,2,1372294784:2,,"4031 Sports Street","Wichita Falls",TX,76308,940-696-0480,,,,,,,,,,,,,,,,,,,,,,,,http://www.jerrysscoreboard.com,,,,,,,,,,,,,,,
336,"2013-06-26 18:04:36","2013-06-26 18:04:36",publish,"Legend's Athletic",,,0,legends-athletic-2,dealer,,closed,closed,0,chris,,,,,,2,1372294968:2,,"1032 Shady Oaks Drive",Denton,TX,76205,214-444-8679,,,,,,,,,,,,,,,,,,,,,,,,http://www.legendsathleticsupply.com,,,,,,,,,,,,,,,
339,"2013-06-26 18:06:30","2013-06-26 18:06:30",publish,"Lockdown Sports Gear",,,0,lockdown-sports-gear-2,dealer,,closed,closed,0,chris,,,,,,2,1372295078:2,,"1348 N. Great Neck Road","Virginia Beach",VA,23454,757-481-0968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,"2013-06-26 18:13:02","2013-06-26 18:13:02",publish,"MVP Sports",,,0,mvp-sports-2,dealer,,closed,closed,0,chris,,,,,,2,1372295474:2,,"72 North Main","Spanish Fork",UT,84660,801-798-3587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,"2013-06-26 18:13:42","2013-06-26 18:13:42",publish,"National Pro Fastpitch",,,0,national-pro-fastpitch-2,dealer,,closed,closed,0,chris,,,,,,2,1372295514:2,,"3350 Hobson Pike",Hermitage,TN,37076,615-232-2900,,,,,,,,,,,,,,,,,,,,,,,,http://www.profastpitch.com,,,,,,,,,,,,,,,
351,"2013-06-26 18:15:35","2013-06-26 18:15:35",publish,"Omega Sports",,,0,omega-sports-2,dealer,,closed,closed,0,chris,,,,,,2,1404756036:2,,"130 S. Walnut",Greensboro,NC,27409,336-854-0797,,,,,,,,,,,,,,,,,,,,,,,,http://www.omegasports.net,,,,,,,,,,,,,,,
354,"2013-07-02 11:44:31","2013-07-02 11:44:31",publish,"Universal Athletic",,,0,universal-athletic,dealer,,closed,closed,0,chris,,,,,,2,1372790567:2,,"14131 N. Rio Vista Boulevard, Suite 1",Peoria,AZ,85381,888-322-2214,,,,,,,,,,,,,,,,,,,,,,,,http://www.universalathletic.com,,,,,,,,,,,,,,,
355,"2013-07-02 11:46:42","2013-07-02 11:46:42",publish,"Midway Sports",,,0,midway-sports,dealer,,closed,closed,0,chris,,,,,,2,1372790695:2,,"7795 W. Flagler Street, Suite 8",Miami,FL,33144,305-264-0788,,,,,,,,,,,,,,,,,,,,,,,,http://www.midwaysports.com,,,,,,,,,,,,,,,
356,"2013-07-02 11:47:31","2013-07-02 11:47:31",publish,"Soccer Line",,,0,soccer-line,dealer,,closed,closed,0,chris,,,,,,2,1372790744:2,,"2876 Ringling Boulevard",Sarasota,FL,34237,941-365-6572,,,,,,,,,,,,,,,,,,,,,,,,http://www.soccerlineusa.com,,,,,,,,,,,,,,,
