name,city,phone,postal code,street,region,website,email,country,zone,distributor
Matzman-Merutz,,011 972-9-885-0505,,,,www.matzman-merutz.co.il,pniot@matzman-merutz.co.il,Israel,Middle East,1
Wolfi's Bike Shop,,'+971-4-3394453,,,,www.wbs.ae,,United Arab Emirates,Middle East,1
Nova Sport ,,011 502-530-69-107,,,,,walter@trekdeguate.com,Guatemala,Central America,1
Techno Bike,,011 52-818-478-4560,,,,www.teknobike.com,mb@teknobike.com,Mexico,Central America,1
Xcesso ,,011 506-2589-1340,,,,www.xcesso.com,info@xcesso.com,Costa Rica,Central America,1
Pikkori Sports,,011 299-321-888,,,,www.pikkori.com,butik@pikkori.gl,Greenland,Europe,1
Live to Play Sports ,,1-800-663-8916,,,,livetoplaysports.com,geoffp@livetoplaysports.com,Canada,Canada,1
Red Bike Distribution,,'+52-442-446-8118,,,,Jdfelix40@hotmail.com,Jdfelix40@hotmail.com,Mexico,Central America,1
HS White & Sons,,011 646-350-2440,,,,www.hswhite.co.nz,hswhite@hswhite.co.nz,New Zealand,Oceania,1
BikeCorp - The Bicycle Corporation,,011 61-395-585-449,,,,www.bicorp.com.au,info@bicorp.com.au,Australia,Oceania,1
Down Hill Madness,,011 591-2239-1810,,,,,info@madness_bolivia.com,Bolivia,South America,1
D Bike,,011 58-212-961-30-29,,,,,d_bike1@yahoo.com,Venezuela,South America,1
Dino Representaciones,,011 593-2-225-5363,,,,dinorgt@hotmail.com,,Ecuador,South America,1
Belda Cycles,,6273,,,,www.beldabikes.com,,Chile,South America,1
Adesa,,1 809-688-7732,,,,,mil@adesa.com.do,Dominican Republic,South America,1
Tri Store,,6874,,,,www.tristorepanama.com,,Panama,South America,1
Servidores Peru S.A.,,51-1-241-9712,,,,www.buenasbiclas.com,,Peru,South America,1
LIBAR BICICLETAS,,57-1 4851211         alievanoventas@libarbicicletas.com,,,,www.libarbicicletas.com,alievanoventas@libarbicicletas.com,Colombia,South America,1
Downeast Bicycle Specialists,,,,,,www.debike.com,,USA,USA,1
Motopac Corp,,787-740-1000,,,,www.motopac.com/,info@motopac.com,Puerto Rico,Central America,1
The Hawley Co.,,,,,,www.hawleyusa.com/,,USA,USA,1
Hans Johnsen,,,,,,www.hjc.com/,,USA,USA,1
Bicycle Technologies International,,,,,,www.bti-usa.com/,,USA,USA,1
Quality Bicycle Products,,,,,,www.qbp.com/,,USA,USA,1
KHS,,,,,,www.khsbicycles.com/,,USA,USA,1
J&B Importers,,,,,,www.jbimporters.com/,,USA,USA,1
Security Bicycle Accessories,,,,,,www.securitybicycle.com/,,USA,USA,1
Hot Products (Watercraft),,,,,,www.hotproductsusa.com/,,USA,USA,1
Trek,,,,,,www.trekbikes.com/,,USA,USA,1
Wilson,,,,,,www.wilsonbike.com/,,USA,USA,1
